FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,City,State Abbreviation,Zip_Code,Date_Loan_Closing,Loan_Amount,Total_Development_Cost,Population_Obligation,Median_Household_Income_Obligation,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Construction_Type,Project_Type
2010,"BONNEVILLE MORTGAGE COMPANY, LLC",SAGE NM MULTI-FAMILY 2007 LLC,SAGE MFH 2007,110 RUDY DRIVE,GALLUP,NM,873010000,2011-03-15T05:00:00Z,323000,3023075,20209,25005,30,14,500,600,REHAB/REPAIR,SENIOR
2009,"BONNEVILLE MORTGAGE COMPANY, LLC","SALINAS PACIFIC ASSOCIATES, A CA LP",TRESOR APARTMENTS,1041 BUCKHORN DRIVE,SALINAS,CA,939050000,2011-09-30T05:00:00Z,2200000,22029835,151060,43720,24,40,436,436,NEW CONSTRUCTION,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","SALINAS PACIFIC ASSOCIATES, A CA LP",TRESOR APARTMENTS,1041 BUCKHORN DRIVE,SALINAS,CA,939050000,2012-09-25T05:00:00Z,300000,22029835,151060,43720,24,40,436,436,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","SALINAS PACIFIC ASSOCIATES, A CA LP",TRESOR APARTMENTS,1041 BUCKHORN DRIVE,SALINAS,CA,939050000,2011-09-30T05:00:00Z,825000,22029835,151060,43720,24,40,436,436,NEW CONSTRUCTION,FAMILY
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","SAN ANDREAS DIAMOND PLACE, LP",DIAMOND PLACE APARTMENTS,547 LEWIS AVENUE,SAN ANDREAS,CA,952499651,2016-09-12T05:00:00Z,1015000,4978360,2783,70000,12,14,338,392,REHAB/REPAIR,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","SAN JACINTO MANOR, LP",SAN JACINTO MANOR,1762 S SANTA FE AVENUE,SAN JACINTO,CA,925830000,2022-06-02T05:00:00Z,5400000,10363406,49215,77500,60,6,980,987,REHAB/REPAIR,SENIOR
2014,BELLWETHER ENTERPRISE REAL ESTATE,"SAN JACINTO VILLAGE APARTMENTS, LP",SAN JACINTO VILLAGE APARTMENTS,700 IDYLLWILD DRIVE,SAN JACINTO,CA,925830000,2015-12-10T06:00:00Z,650000,5491676,44199,60700,16,16,642,787,REHAB/REPAIR,FAMILY
2019,MERCHANTS CAPITAL CORP.,"SANDHILL COURT, LLC",SANDHILL COURT,1732 WESTOVER DRIVE,SANFORD,NC,273300000,2020-01-27T06:00:00Z,2582912,11139427,28024,86850,12,36,450,536.67,NEW CONSTRUCTION,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC",SANDIA MANOR REHABILITATION LLC,SANDIA MANOR APARTMENTS,335 JILL CT,FERNLEY,NV,894080000,2019-10-01T05:00:00Z,575000,3937538,19368,47255,14,12,525,699,REHAB/REPAIR,MIXED
2007,"LUMENT REAL ESTATE CAPITAL, LLC","SANTA FE REDEVELOPMENT PARTNERS, LLC",SANTA FE APARTMENTS,807 SANTA FE,ATCHISON,KS,660020000,2009-11-25T06:00:00Z,1700000,3423919,10232,31109,46,0,545,0,REHAB/REPAIR,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"SARDIS MEADOW WOODS, LP",MEADOW WOOD APARTMENTS,730 BARGERON AVENUE,SARDIS,GA,304560000,2014-12-10T06:00:00Z,718300,1960159,999,56800,8,12,480,575,REHAB/REPAIR,FAMILY
2007,CENTENNIAL MORTGAGE INC,"SCHOOL AND AVENUE C, LTD.",LAS FRESAS APARTMENTS,764 CHURCH DRIVE,POTEET,TX,780650000,2008-08-27T05:00:00Z,768800,3907851,3305,25239,8,16,391,436,NEW CONSTRUCTION,FAMILY
2020,"BONNEVILLE MORTGAGE COMPANY, LLC",SCHOOLYARD TOWNHOMES LP,SCHOOLYARD TOWNHOMES,124 W FIRST STREET,TONGANOXIE,KS,660860000,2022-03-24T05:00:00Z,1423823,6851227,4996,70022,0,27,0,665,NEW CONSTRUCTION,FAMILY
2024,CHURCHILL MORTGAGE INVESTMENT LLC,"SCOTLAND ARMS NC, LLC",SCOTLAND ARMS APARTMENTS,214 E. 11ST STREET,SCOTLAND NECK,NC,278740000,2024-08-22T05:00:00Z,620000,1790593,1640,55100,18,2,875,905,REHAB/REPAIR,SENIOR
2021,BELLWETHER ENTERPRISE REAL ESTATE,"SCS DECATUR 17, LP",LEGACY TRAILS OF DECATUR,228 BUCHANAN RD,DECATUR,TX,762340000,2022-05-25T05:00:00Z,245000,11266460,6042,79700,42,28,657,788.75,NEW CONSTRUCTION,SENIOR
2019,BELLWETHER ENTERPRISE REAL ESTATE,"SCS DECATUR 17, LP",LEGACY TRAILS OF DECATUR,227 BUCHANAN ROAD,DECATUR,TX,762340000,2019-03-26T05:00:00Z,4900000,10891069,6042,43155,42,28,627,756,NEW CONSTRUCTION,SENIOR
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","SEA GARDEN, LP",SEA GARDEN APARTMENTS,10603 AXTELL STREET,CASTROVILLE,CA,950120000,2014-03-25T05:00:00Z,2356764,17402303,6724,48305,0,25,0,687,NEW CONSTRUCTION,FAMILY
2014,BELLWETHER ENTERPRISE REAL ESTATE,SEABORN GREENE LIMITED PARTNERSHIP,SEABORN GREENE,174 RACE ST.,BAMBERG,SC,290030000,2016-06-15T05:00:00Z,320000,7019239,7126,43200,0,24,0,420,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC",SERENITY PLACE LP,SERENITY PLACE,117 NORTHSIDE CIRCLE,SENECA,SC,296720000,2015-10-15T05:00:00Z,586000,6965534,8102,42848,12,36,370,490,NEW CONSTRUCTION,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"SHADOWBLUFF APARTMENTS NEW, LTD",SHADOWBLUFF APARTMENTS,82 COUNTY ROAD 85,STEVENSON,AL,357720000,2014-08-28T05:00:00Z,702000,1947272,2046,32207,2,22,510,515,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","SHADY LANE PARTNERS, LP",SHADY LANE APARTMENTS,2401 SHADY LANE,ANDERSON,CA,960070000,2013-05-17T05:00:00Z,1017215,3579333,9932,41023,6,10,369,483,REHAB/REPAIR,FAMILY
2020,GREYSTONE SERVICING COMPANY LLC,"SHELBY HEIGHTS, LLC",SHELBY PLACE APARTMENTS,70-201 WILLOWWOOD DRIVE,SHELBYVILLE,KY,400650000,2021-03-04T06:00:00Z,572000,2410512,14045,75200,28,0,555,0,REHAB/REPAIR,SENIOR
2020,GREYSTONE SERVICING COMPANY LLC,"SHELBY HOUSE APARTMENTS, LLC",SHELBY HOUSE APARTMENTS,101 WILLOWWOOD DRIVE,SHELBYVILLE,KY,400650000,2021-03-04T06:00:00Z,863000,2570124,14045,75200,22,2,568,583,REHAB/REPAIR,SENIOR
2007,"PNC BANK, N.A.","SHELLBROOKE POINTE APARTMENTS, LTD.",SHELLBROOKE POINTE APARTMENTS,7684 TWIN BEACH ROAD,FAIRHOPE,AL,365320000,2007-02-27T06:00:00Z,2445000,11452414,12480,42913,16,56,450,530,NEW CONSTRUCTION,FAMILY
2017,BELLWETHER ENTERPRISE REAL ESTATE,SHEPARD GREEN LIMITED PARTNERSHIP,SHEPARD GREENE,626 SHEPARD SCHOOL RD,ZEBULON,NC,275970000,2018-01-30T06:00:00Z,2890000,6920706,4433,76600,18,32,685,780,NEW CONSTRUCTION,SENIOR
2006,"PNC BANK, N.A.","SHERWOOD GLEN, LLC",SHERWOOD GLEN APARTMENTS,2006 OAKBROOK COURT,REIDSVILLE,NC,273200000,2008-07-28T05:00:00Z,1250000,6883672,14777,31040,0,40,0,541,NEW CONSTRUCTION,FAMILY
2017,BELLWETHER ENTERPRISE REAL ESTATE,"SHYVILLE SENIOR LIVING, LP",SHYVILLE SENIOR APARTMENTS,2626 SHYVILLE ROAD,PIKETON,OH,456610000,2019-02-14T06:00:00Z,500001,7934875,2146,55700,10,32,459,565,NEW CONSTRUCTION,SENIOR
2007,"PNC BANK, N.A.","SIDNEY SENIOR HOUSING PARTNERS, LTD.",COUNTRYSIDE COMMONS,890 COUNTRY SIDE LANE,SIDNEY,OH,453650000,2007-03-20T05:00:00Z,1320000,5315101,20211,38663,0,60,0,429,NEW CONSTRUCTION,SENIOR
2017,MERCHANTS CAPITAL CORP.,"SIENNA HEIGHTS, LLC",SIENNA HEIGHTS,E. LEE ROAD,YADKINVILLE,NC,270550000,2017-01-23T06:00:00Z,1218708,6507954,2959,40939,0,30,0,582,NEW CONSTRUCTION,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","SIGNAL RIDGE, LP",SIGNAL RIDGE,34 SIGNAL RIDGE COURT,HENDERSONVILLE,NC,287380000,2018-05-22T05:00:00Z,2758500,8748436,13137,46257,8,28,520,630,NEW CONSTRUCTION,FAMILY
2020,"BONNEVILLE MORTGAGE COMPANY, LLC","SIGNAL RIDGE, LP",SIGNAL RIDGE,34 SIGNAL RIDGE COURT,HENDERSONVILLE,NC,287380000,2021-07-14T05:00:00Z,250000,9630902,13137,36150,8,28,550,660,NEW CONSTRUCTION,FAMILY
2020,GREYSTONE SERVICING COMPANY LLC,"SILVER CREEK HEIGHTS, LLC",SILVER CREEK I APARTMENTS,100 MIRACLE STREET,BEREA,KY,404030000,2021-03-04T06:00:00Z,565000,3790749,13561,65900,8,24,520,540,REHAB/REPAIR,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",SILVER HILLS WALLACE LLC,SILVER HILLS APARTMENTS,20 BANK STREET,WALLACE,ID,838730000,2012-07-17T05:00:00Z,540000,2167472,13771,22065,24,0,605.67,0,REHAB/REPAIR,SENIOR
2022,ROSE COMMUNITY CAPITAL LLC,"SILVER LAKE MEADOWS, LLC",SILVER LAKE MEADOWS,165 LAKE STREET,PERRY,NY,145300000,2024-05-17T05:00:00Z,950000,9111473,5772,78900,14,38,573,700,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","SILVERLEAF AT MASON, LLC",SILVERLEAF AT MASON,AUSTIN ST.,MASON,TX,768560000,2020-11-12T06:00:00Z,1735000,6265172,2114,61000,25,20,522,626,NEW CONSTRUCTION,SENIOR
2019,"BONNEVILLE MORTGAGE COMPANY, LLC","SILVERLEAF AT ORANGE, LP",SILVERLEAF AT ORANGE,8885 OLD HIGHWAY 90,ORANGE,TX,776300000,2022-06-21T05:00:00Z,2750000,11625356,18595,43042,48,32,286,333,NEW CONSTRUCTION,SENIOR
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","SILVERLEAF AT ROCKPORT, LP",SILVERLEAF AT ROCKPORT,342 RATTLESNAKE POINT ROAD,ROCKPORT,TX,751470000,2024-03-12T05:00:00Z,3727670,13406764,23510,61680,44,28,571.5,670.5,NEW CONSTRUCTION,FAMILY
2019,BELLWETHER ENTERPRISE REAL ESTATE,SILVERTOWNE APARTMENTS LLC,SILVERTOWNE APARTMENTS,1115 MILL STREET,SILVERTON,OR,973810000,2019-11-26T06:00:00Z,800000,11694051,9222,58443,75,11,553,644,REHAB/REPAIR,MIXED
2010,"BANK OF OKLAHOMA, N.A.","SKIATOOK RETIREMENT COMMUNITY,L.P.","SKIATOOK SENIOR, LIMITED PARTN",1504 W 5TH,SKIATOOK,OK,740700000,2010-10-02T05:00:00Z,17878,3551968,5396,32946,47,1,450,520,REHAB/REPAIR,MIXED
2008,"BANK OF OKLAHOMA, N.A.","SKIATOOK RETIREMENT COMMUNITY,L.P.","SKIATOOK SENIOR, LIMITED PARTN",1504 W 5TH,SKIATOOK,OK,740700000,2010-10-02T05:00:00Z,449499,3551968,5396,32946,47,1,450,520,REHAB/REPAIR,MIXED
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",SKS CLINTON LLC,LAFAYETTE GREEN,122 EAST MAIN STREET,CLINTON,CT,64130000,2009-12-22T06:00:00Z,1633500,3430358,13094,58175,48,0,719,0,OTHER,SENIOR
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",SKS WESTBROOK LLC,AMBLESIDE I & II,1784 BOSTON POST ROAD,WESTBROOK,CT,62390000,2009-12-22T06:00:00Z,2545750,5876853,6292,59175,60,12,715,737,OTHER,MIXED
2008,BELLWETHER ENTERPRISE REAL ESTATE,"SKY MEADOWS, LLC",VILLAGE AT SKYE MEADOWS,6533 FAIRDALE DRIVE,CAMBRIDGE,OH,437250000,2008-12-19T06:00:00Z,695000,5544603,11520,24102,0,40,0,325,NEW CONSTRUCTION,MIXED
2010,"LUMENT REAL ESTATE CAPITAL, LLC",SKYBIRD MANOR L.P.,SKYBIRD APARTMENTS,302 E. 10TH STREET,GREENSBURG,IN,472400000,2010-12-07T06:00:00Z,550000,4511396,10260,38029,59,1,435,482,REHAB/REPAIR,SENIOR
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",SKYLINE TRACE APTS LP,SKYLINE TRACE APTS,600 RIDGE ROAD,MONROE,GA,306550000,2009-11-16T06:00:00Z,2118982,8856164,11407,46479,8,32,525,550,NEW CONSTRUCTION,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"SKYVIEW APARTMENTS NEW, LTD",SKYVIEW APARTMENTS,104 PARK STREET,TROY,AL,360810000,2014-08-28T05:00:00Z,1139000,2796045,18033,44200,8,28,460,510,REHAB/REPAIR,FAMILY
2019,CHURCHILL MORTGAGE INVESTMENT LLC,"SMITH CREEK APARTMENTS, LLC",SMITH CREEK APARTMENTS,260 SHADY LANE,BERMUDA RUN,NC,270060000,2019-11-20T06:00:00Z,4300000,10750762,1725,58500,8,48,556,667,NEW CONSTRUCTION,FAMILY
2009,PENNSYLVANIA HOUSING FINANCE AGENCY,SOMERSET VILLAGE LIMITED PARTNERSHIP,VILLAGE AT SOMERSET,500 VILLAGE WAY,SOMESET,PA,155012736,2010-02-03T06:00:00Z,3000000,11654057,6762,45500,0,62,0,1002,REHAB/REPAIR,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","SOMERVILLE SENIOR HOUSING, LP",SOMERVILLE ESTATES,785 3RD STREET,SOMERVILLE,TX,778790000,2022-06-29T05:00:00Z,500000,3294554,1473,41944,20,4,600,700,REHAB/REPAIR,SENIOR
2015,"BONNEVILLE MORTGAGE COMPANY, LLC",SONOMA SPRINGS LP,SONOMA SPRINGS APARTMENTS,1100 HANSON STREET,WINNEMUCCA,NV,894450000,2017-08-11T05:00:00Z,1560620,6799758,7396,67630,0,20,0,688,NEW CONSTRUCTION,FAMILY
2020,BELLWETHER ENTERPRISE REAL ESTATE,"SOUTH PARK II, LP",SOUTH PARK ESTATES,2686 SHARON LANE,GREENVILLE,MS,387010000,2021-01-28T06:00:00Z,1688400,4077708,46221,29387,8,36,560,615,REHAB/REPAIR,SENIOR
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","SOUTH RIVER ROAD ASSOCIATES, A CA LP",HIDDEN CREEK VILLAGE,80 SOUTH RIVER ROAD,PASO ROBLES,CA,934460000,2012-06-20T05:00:00Z,4345819,19919529,24297,42428,22,31,351,415,NEW CONSTRUCTION,FAMILY
2005,"BONNEVILLE MORTGAGE COMPANY, LLC","SOUTHCLIFF FALLS, LIMITED PARTNERSHIP",SOUTHCLIFF FALLS,810 S. CLIFF AVE.,HARRISBURG,SD,570320000,2008-11-25T06:00:00Z,1500000,4564339,958,51196,0,28,0,509,NEW CONSTRUCTION,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"SOUTHERLAND VILLAGE, LLC",SOUTHERLAND VILLAGE APARTMENTS,400 POND VIEW LANE,WALLACE,NC,284660000,2014-11-25T06:00:00Z,715000,6361337,3880,52400,8,28,429,502,NEW CONSTRUCTION,FAMILY
2015,CHURCHILL MORTGAGE INVESTMENT LLC,SOUTHFORK APTS LP,SOUTHFORK APARTMENTS,500 S MACARTHUR DRIVE,CAMILLA,GA,317300000,2017-07-12T05:00:00Z,1350000,15648000,5084,47000,16,16,295,465,REHAB/REPAIR,FAMILY
2022,BELLWETHER ENTERPRISE REAL ESTATE,"SOUTHGATE REDEVELOPMENT, LP",SOUTHGATE REDEVELOPMENT,109 AQUARIUS CIRCLE,INDIANOLA,MS,387510000,2024-05-30T05:00:00Z,7015313,24464842,9037,71300,0,0,0,0,REHAB/REPAIR,FAMILY
2015,CHURCHILL MORTGAGE INVESTMENT LLC,SOUTHPORT ABBINGTON OAKS LLC,ABBINGTON OAKS APARTMENTS,4744 ABBINGTON OAKS WAY,SOUTHPORT,NC,284610000,2017-09-26T05:00:00Z,2660000,8655046,2833,62700,20,36,434,563,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC",SOUTHVIEW PLACE NM MULTI-FAM 2007 LLC,SOUTHVIEW PLACE MFH 2007,1300 WEST AVENUE R,LOVINGTON,NM,882600000,2011-03-15T05:00:00Z,549000,2836127,9471,29799,0,48,0,550,REHAB/REPAIR,FAMILY
2019,"LUMENT REAL ESTATE CAPITAL, LLC","SP TN COUNTRY VILLAGE, LLC",COUNTRY VILLAGE,342 RED OAK CIRCLE,JEFFERSON CITY,TN,377600000,2019-04-25T05:00:00Z,5000000,16989545,8047,49200,16,124,517,619,REHAB/REPAIR,FAMILY
2016,CHURCHILL MORTGAGE INVESTMENT LLC,"SP&D MT. PLEASANT, LLC",BARRINGER'S TRACE,901 ROSS CIRCLE,MT. PLEASANT,NC,281240000,2018-01-04T06:00:00Z,3504000,7964751,6622,45833,8,40,574,674,NEW CONSTRUCTION,FAMILY
2016,CHURCHILL MORTGAGE INVESTMENT LLC,"SP&D SHALLOTTE, LLC",RIVER POINTE,4620 WHITE STREET,SHALLOTTE,NC,284700000,2018-06-04T05:00:00Z,3132000,8064629,3675,27400,10,36,558,660,NEW CONSTRUCTION,FAMILY
2015,CHURCHILL MORTGAGE INVESTMENT LLC,"SP&D SYLVA, LLC",HIGH RIDGE,282 CONNOR ROAD,SYLVA,NC,287790000,2017-03-22T05:00:00Z,1015257,5507270,16111,51700,12,20,438,536,NEW CONSTRUCTION,FAMILY
2016,MERCHANTS CAPITAL CORP.,"SPARTA SPRINGS, LLC",SPARTA SPRINGS APARTMENTS,9 FELTS ST.,NORTH WILKSBORO,NC,286590000,2016-09-20T05:00:00Z,1603654,6338172,4245,69340,0,27,0,702,NEW CONSTRUCTION,FAMILY
2009,MERCHANTS CAPITAL CORP.,"SPICEWOOD GARDEN APARTMENTS, L.P.",SPICEWOOD GARDEN APARTMENTS,901 BASIL LANE,SHERIDAN,IN,460690000,2010-01-25T06:00:00Z,450000,3169853,2520,38390,0,26,0,368,NEW CONSTRUCTION,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"SPRING CREEK APARTMENTS NEW, LTD",SPRING CREEK APARTMENTS,190 JOHNSON DRIVE,CHEROKEE,AL,356160000,2014-08-28T05:00:00Z,391000,2021561,1048,51000,24,0,510,0,REHAB/REPAIR,FAMILY
2006,WEST VIRGINIA HOUSING DEVELOPMENT FUND,SPRUCE COVE LIMITED PARTNERSHIP,SPRUCE COVE APARTMENTS,410 NORTHRIDGE DRIVE,LEWISBURG,WV,249010000,2006-09-18T05:00:00Z,50000,3317949,4317,40100,6,30,365,435,NEW CONSTRUCTION,FAMILY
2004,WEST VIRGINIA HOUSING DEVELOPMENT FUND,SPRUCE COVE LIMITED PARTNERSHIP,SPRUCE COVE APARTMENTS,410 NORTHRIDGE DRIVE,LEWISBURG,WV,249010000,2004-10-27T05:00:00Z,1205000,3317949,4317,40100,6,30,365,435,NEW CONSTRUCTION,FAMILY
2005,WEST VIRGINIA HOUSING DEVELOPMENT FUND,SPRUCE COVE LIMITED PARTNERSHIP,SPRUCE COVE L.P.,410 NORTHRIDGE DRIVE,LEWISBURG,WV,249010000,2005-02-25T06:00:00Z,395000,3317949,3624,40100,6,40,365,435,NEW CONSTRUCTION,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","ST. ANDREW'S COURT, LP",ST ANDREW'S COURT,4510 HWY 247 CONN,BYRON,GA,310080000,2018-05-16T05:00:00Z,1250000,12006597,4512,41588,16,64,350,687,NEW CONSTRUCTION,SENIOR
2011,"BONNEVILLE MORTGAGE COMPANY, LLC","ST. CHARLES STREET PARTNERS, LP",SAN ANDREAS APARTMENTS,441 E. ST. CHARLES STREET,SAN ANDREAS,CA,952490000,2012-06-29T05:00:00Z,890000,5193613,2615,41022,24,20,701,833,REHAB/REPAIR,FAMILY
2008,BANK OF BOZEMAN,"ST. FRANCES SENIOR RESOURCES, INC.",AVALON INDEPENDENT LIVING,AVALON SENIOR LIVING,EMIGRANT,MT,590270000,2009-02-02T06:00:00Z,1496550,2765428,372,50400,12,6,600,900,NEW CONSTRUCTION,FAMILY
2008,"BONNEVILLE MORTGAGE COMPANY, LLC","STAR-CLEARLAKE COMMONS, L.P.",RIDGE LAKE APARTMENTS,15160 AUSTIN DRIVE,CLEARLAKE,CA,954220000,2010-06-28T05:00:00Z,800000,9703697,13142,29627,41,48,626,669,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","STONE RIDGE APARTMENTS, LP",STONE RIDGE APARTMENTS,4560 FAIRMOUNT HWY SE,CALHOUN,GA,307010000,2017-11-09T06:00:00Z,1250000,13026800,15650,35517,8,28,505,602,NEW CONSTRUCTION,MIXED
2014,BELLWETHER ENTERPRISE REAL ESTATE,"STONE RIDGE VILLAGE, LLC",STONE RIDGE VILLAGE,701 NICKLEPLATE STREET,LOUISVILLE,OH,446410000,2016-03-30T05:00:00Z,660000,7936673,9186,54100,0,40,0,539,NEW CONSTRUCTION,SENIOR
2010,"BONNEVILLE MORTGAGE COMPANY, LLC",STONEGATE VILLAGE NEW CASTLE LLC,STONEGATE VILLAGE APARTMENTS,3302 STONEGATE DRIVE,NEW CASTLE,IN,473620000,2011-07-18T05:00:00Z,402829,9611032,17780,38150,16,66,358.75,466.24,REHAB/REPAIR,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC",STONEGATE VILLAGE NEW CASTLE LLC,STONEGATE VILLAGE APARTMENTS,3302 STONEGATE DRIVE,NEW CASTLE,IN,473620000,2011-07-14T05:00:00Z,577171,9611032,17780,38150,16,66,358.75,466.24,REHAB/REPAIR,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","STONELEAF AT EUSTACE, LLC.",STONELEAF AT EUSTACE,320 FM 316,EUSTACE,TX,751240000,2016-01-20T06:00:00Z,1819115,7021765,991,41242,13,24,458,550,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","STONELEAF AT FAIRFIELD, LLC.",STONELEAF AT FAIRFIELD,113 WEST REUNION STREET,FAIRFIELD,TX,758400000,2016-07-15T05:00:00Z,2376000,6975682,2951,45816,13,24,502.5,601.75,NEW CONSTRUCTION,FAMILY
2018,BELLWETHER ENTERPRISE REAL ESTATE,"STUTTGART PROPERTIES II, L.P.",STUTTGART APARTMENTS II,604 W. 2ND STREET,STUTTGART,AR,721600000,2019-03-15T05:00:00Z,2051000,7943500,9326,48449,8,32,625,675,NEW CONSTRUCTION,FAMILY
2018,BELLWETHER ENTERPRISE REAL ESTATE,"STUTTGART PROPERTIES, L.P.",STUTTGART APARTMENTS I,514 W. 1ST STREET,STUTTGART,AR,721600000,2019-03-15T05:00:00Z,2051000,7943500,9326,48449,8,32,625,675,NEW CONSTRUCTION,FAMILY
2008,WEST VIRGINIA HOUSING DEVELOPMENT FUND,SUE TERRACE II LIMITED PARTNERSHIP,SUE TERRACE II APARTMENTS,100 SUE TERRACE DRIVE,MILTON,WV,255410000,2012-11-26T06:00:00Z,325000,2755000,2206,47000,8,24,480,510,REHAB/REPAIR,SENIOR
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","SUGAR ESTATES ASSOCIATES, L.P.",SUGAR ESTATES,ESTATE THOMAS,CHARLOTTE AMALIE,VI,8020000,2020-05-28T05:00:00Z,1300000,36023802,18914,37254,76,4,920,1184,NEW CONSTRUCTION,SENIOR
2011,"BONNEVILLE MORTGAGE COMPANY, LLC","SUMMER PARK APARTMENT INVESTORS, LP",SUMMER PARK APARTMENTS,1500 SUMMER COURT,CRESCENT CITY,CA,955310000,2013-03-28T05:00:00Z,1821506,12547233,4006,29642,0,32,0,573,NEW CONSTRUCTION,FAMILY
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"SUMMERSET SWAINSBORO, LLC",SUMMERSET,317 MARY ANN STREET,SWAINSBORO,GA,304010000,2018-12-20T06:00:00Z,1075000,2738900,7277,33064,28,3,575,595,REHAB/REPAIR,SENIOR
2012,CHURCHILL MORTGAGE INVESTMENT LLC,"SUN HOUSING, LP",BRANCH RUN APARTMENTS,MOORE COCK ROAD,SHUQUALAK,MS,393610000,2012-12-11T06:00:00Z,75000,987815,2961,"27,651.67",0,12,0,495,REHAB/REPAIR,FAMILY
2012,CHURCHILL MORTGAGE INVESTMENT LLC,"SUN HOUSING, LP",THE WOODLANDS APARTMENTS,480 EAST MAIN STREET,NOXAPATER,MS,393460000,2012-12-11T06:00:00Z,50000,581181,472,28978,0,8,0,425,REHAB/REPAIR,FAMILY
2012,CHURCHILL MORTGAGE INVESTMENT LLC,"SUN HOUSING, LP",NORTHCREST APARTMENTS,322 NORTH STREET,UNION,MS,393650000,2012-12-11T06:00:00Z,"99,904.53",1116451,1988,33703,0,16,0,495,REHAB/REPAIR,FAMILY
2008,"LUMENT REAL ESTATE CAPITAL, LLC",SUNBURY I LIMITED PARTNERSHIP,VILLAGE PARK HOMES,170 MCGILL STREET,SUNBURY,OH,430740000,2008-02-28T06:00:00Z,1140000,4915073,3051,64400,0,32,0,578,REHAB/REPAIR,FAMILY
2008,"LUMENT REAL ESTATE CAPITAL, LLC",SUNGATE VILLA II PRESCOTT VALLEY,SUNGATE VILLA II APARTMENTS,3870 CIRCLE DRIVE N.E.,PRESCOTT VALLEY,AZ,863140000,2011-06-23T05:00:00Z,1245000,10468887,23500,37257,28,26,334,417,NEW CONSTRUCTION,SENIOR
2006,"LUMENT REAL ESTATE CAPITAL, LLC",SUNGATE VILLA/PRESCOTT VALLEY LP,SUNGATE VILLA/PRESCOTT VALLEY,3850 N. CIVIC DRIVE,PRESCOTT VALLEY,AZ,863140000,2008-02-28T06:00:00Z,975000,9111000,23535,46011,24,40,382,453,NEW CONSTRUCTION,SENIOR
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","SUNRISE VILLAGE MOSCOW, LLC",SUNRISE VILLAGE APARTMENTS,909 TRAVOIS WAY,MOSCOW,ID,838430000,2022-05-23T05:00:00Z,400000,3174107,23800,71300,18,0,700,0,OTHER,SENIOR
2002,"PNC BANK, N.A.","SUNSET POINTE, LP",SUNSET POINTE APARTMENTS,1282 SUNSET BLVD,JESUP,GA,315980000,2004-07-06T05:00:00Z,395000,5623200,9279,31515,16,32,269,315,NEW CONSTRUCTION,FAMILY
2016,"LUMENT REAL ESTATE CAPITAL, LLC","SWINEY, TIM",LAWRENCE MANOR APARTMENTS,1035 COUNTY ROAD 1,SOUTH POINT,OH,456800000,2018-04-03T05:00:00Z,600000,6457255,3958,33110,58,2,359,399,REHAB/REPAIR,SENIOR
2015,"BONNEVILLE MORTGAGE COMPANY, LLC",SWM AFFORDABLE LP,SAGEWOOD MANOR APARTMENTS,6215 OCOTILLO AVENUE,TWENTYNINE PALMS,CA,922770000,2017-05-02T05:00:00Z,1150000,8270959,25048,54090,60,5,515,551,REHAB/REPAIR,SENIOR
